"annotation_id","annotator","created_at","id","lead_time","sentiment","text","updated_at"
897,"1","2025-07-17T07:24:50.634489Z",2488,1.667,"기타","""전시회에서 만난 한국 아티스트들의 작품은 정말 인상 깊었습니다.""","2025-07-17T07:24:50.634514Z"
898,"1","2025-07-17T07:24:51.897748Z",2489,1.128,"k-문화","""한국 영화의 힘과 매력을 다시 한번 느낄 수 있었던 시간이었습니다.""","2025-07-17T07:24:51.897764Z"
899,"1","2025-07-17T07:24:53.811384Z",2490,1.777,"기타","""생각했던 것보다 괜찮았어요.""","2025-07-17T07:24:53.811404Z"
900,"1","2025-07-17T07:24:55.115415Z",2491,1.17,"기타","""기회가 되면 다시 방문하고 싶네요.""","2025-07-17T07:24:55.115432Z"
901,"1","2025-07-17T07:24:56.218608Z",2492,0.963,"기타","""전체적으로 무난하고 좋았습니다.""","2025-07-17T07:24:56.218623Z"
902,"1","2025-07-17T07:24:57.473530Z",2493,1.112,"기타","""직원분들이 친절해서 기분 좋았어요.""","2025-07-17T07:24:57.473550Z"
903,"1","2025-07-17T07:24:58.545432Z",2494,0.937,"기타","""기대를 너무 많이 해서 그런지 조금 아쉬웠어요.""","2025-07-17T07:24:58.545456Z"
904,"1","2025-07-17T07:24:59.614207Z",2495,0.931,"기타","""한 번쯤 경험해볼 만한 것 같아요.""","2025-07-17T07:24:59.614248Z"
905,"1","2025-07-17T07:25:00.926896Z",2496,1.177,"기타","""위치가 좋아서 찾아가기 편했습니다.""","2025-07-17T07:25:00.926910Z"
906,"1","2025-07-17T07:25:02.048531Z",2497,0.982,"기타","""가격 대비 만족도는 보통입니다.""","2025-07-17T07:25:02.048548Z"
907,"1","2025-07-17T07:25:03.334764Z",2498,1.159,"기타","""깨끗하고 시설이 잘 관리되어 있었어요.""","2025-07-17T07:25:03.334780Z"
908,"1","2025-07-17T07:25:04.675717Z",2499,1.193,"기타","""주변 사람들에게 추천할 만합니다.""","2025-07-17T07:25:04.675731Z"
